[Choosing CUDA device...]
NVIDIA A40
[Creating frb kernel...]
[Done creating frb kernel]
CHORD FRB beamformer
Compiling kernel...
Allocating input data...
Setting up input data...
dish = 249
freq = 137
polr = 0
time = 1068
Wvalue = 0.36607796f0 - 0.7806393f0im
Evalue = 2 + 7im
dstime = 26
Copying data from CPU to GPU...
Running kernel...
Copying data back from GPU to CPU...
Checking results...
    I:
        beamp=15 beamq=5 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=16 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=17 beamq=5 freq=137 dstime=26 I=0.123535156 I₀=39.40625
        beamp=18 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=19 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=20 beamq=5 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=21 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=22 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=23 beamq=5 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=24 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=25 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=26 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=27 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=28 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=29 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=30 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=31 beamq=5 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=32 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=33 beamq=5 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=34 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=35 beamq=5 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=36 beamq=5 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=37 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=38 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=39 beamq=5 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=40 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=41 beamq=5 freq=137 dstime=26 I=0.123535156 I₀=39.40625
        beamp=42 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=43 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=44 beamq=5 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=45 beamq=5 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=46 beamq=5 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=47 beamq=5 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=0 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=1 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=2 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=3 beamq=6 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=4 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=5 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=6 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=7 beamq=6 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=8 beamq=6 freq=137 dstime=26 I=0.12310791 I₀=39.40625
